epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,10696,0.58185,0.22291,0.00291,0.99173,0.96746,0.99374,0.85796,0.58483,0.20091,0.00301,0.0004688,0.0004688,0.0004688
118,10754.3,0.5883,0.27727,0.00309,0.98181,1,0.99468,0.85585,0.59783,0.17987,0.00311,0.0004556,0.0004556,0.0004556
119,10857.1,0.59713,0.24521,0.00298,1,0.97569,0.99453,0.86668,0.56968,0.18377,0.00297,0.0004424,0.0004424,0.0004424
120,10951.7,0.62223,0.2227,0.00327,1,0.9744,0.99422,0.86563,0.5759,0.19519,0.00302,0.0004292,0.0004292,0.0004292
121,11060.1,0.61479,0.24882,0.00329,0.97615,0.99023,0.99428,0.86269,0.59137,0.19849,0.00316,0.000416,0.000416,0.000416
122,11129,0.61414,0.24339,0.00311,0.97621,0.99259,0.99412,0.86786,0.57473,0.18894,0.00292,0.0004028,0.0004028,0.0004028
123,11228.4,0.56435,0.2311,0.00291,0.96093,0.99194,0.99372,0.86588,0.56417,0.20137,0.00288,0.0003896,0.0003896,0.0003896
124,11322.9,0.57812,0.22094,0.00282,0.98213,0.99194,0.99451,0.8634,0.5839,0.19557,0.00301,0.0003764,0.0003764,0.0003764
125,11424.1,0.59919,0.23799,0.00325,0.981,0.99194,0.99435,0.86,0.57367,0.19276,0.00295,0.0003632,0.0003632,0.0003632
126,11526.4,0.60917,0.24812,0.0033,0.97482,0.96774,0.99259,0.86365,0.56346,0.20702,0.00289,0.00035,0.00035,0.00035
127,11620.4,0.58027,0.24201,0.003,0.99184,0.98009,0.99428,0.86661,0.56645,0.18759,0.00292,0.0003368,0.0003368,0.0003368
128,11666.2,0.57941,0.24222,0.00298,1,0.96745,0.99413,0.86307,0.58701,0.19359,0.00309,0.0003236,0.0003236,0.0003236
129,11773.5,0.55228,0.21249,0.00275,0.98906,0.98387,0.99452,0.86651,0.56961,0.186,0.00303,0.0003104,0.0003104,0.0003104
130,11858.9,0.5586,0.23302,0.00261,0.9915,0.99194,0.99484,0.86888,0.55899,0.17735,0.00298,0.0002972,0.0002972,0.0002972
131,11961.6,0.57818,0.21572,0.00287,0.99193,0.99108,0.99468,0.86861,0.56043,0.18304,0.00299,0.000284,0.000284,0.000284
132,12041.3,0.5698,0.22537,0.00289,0.98385,0.9823,0.99428,0.87346,0.55446,0.18447,0.00285,0.0002708,0.0002708,0.0002708
133,12147.6,0.58758,0.22687,0.00304,1,0.96619,0.99429,0.86812,0.55975,0.18533,0.00289,0.0002576,0.0002576,0.0002576
