epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,320.026,0.55644,0.26063,0.00283,0.96561,0.99194,0.99289,0.86297,0.57325,0.20969,0.00291,0.0002312,0.0002312,0.0002312
136,322.421,0.56728,0.25549,0.00304,0.96528,1,0.9933,0.86961,0.56286,0.20236,0.00285,0.000218,0.000218,0.000218
137,324.719,0.59789,0.27602,0.00285,0.98255,0.98387,0.99331,0.86269,0.56626,0.20293,0.0029,0.0002048,0.0002048,0.0002048
138,327.007,0.5558,0.26934,0.00272,0.96702,0.98387,0.99204,0.86934,0.56225,0.21256,0.00286,0.0001916,0.0001916,0.0001916
139,329.301,0.59226,0.27169,0.00294,0.97275,0.99194,0.99277,0.86351,0.56752,0.20771,0.00289,0.0001784,0.0001784,0.0001784
140,331.615,0.59971,0.30085,0.00277,0.97529,0.99194,0.99336,0.86511,0.56722,0.20682,0.00293,0.0001652,0.0001652,0.0001652
141,345.103,0.49386,0.226,0.00305,0.98379,0.97911,0.99354,0.86152,0.57246,0.20088,0.00296,0.000152,0.000152,0.000152
142,347.411,0.53816,0.24219,0.00322,0.98381,0.98003,0.99329,0.85995,0.58553,0.20898,0.00303,0.0001388,0.0001388,0.0001388
143,349.631,0.49323,0.23425,0.00281,0.95637,0.99194,0.99313,0.85464,0.586,0.21453,0.00305,0.0001256,0.0001256,0.0001256
144,351.865,0.51041,0.22481,0.00282,0.97604,0.98536,0.99328,0.85298,0.58527,0.20982,0.00299,0.0001124,0.0001124,0.0001124
145,354.072,0.51692,0.21983,0.00319,0.98365,0.97062,0.99322,0.85223,0.58471,0.20807,0.00299,9.92e-05,9.92e-05,9.92e-05
146,356.318,0.48506,0.21771,0.00279,0.97669,0.96774,0.99339,0.85574,0.58373,0.2052,0.00301,8.6e-05,8.6e-05,8.6e-05
147,358.547,0.48815,0.22051,0.00281,0.96674,0.98387,0.99299,0.85666,0.58268,0.20565,0.003,7.28e-05,7.28e-05,7.28e-05
148,360.798,0.4829,0.21453,0.00242,0.96747,0.98387,0.99322,0.86167,0.57834,0.20375,0.00298,5.96e-05,5.96e-05,5.96e-05
149,363.003,0.48289,0.22367,0.00283,0.96832,0.98597,0.99355,0.86354,0.57687,0.20278,0.00297,4.64e-05,4.64e-05,4.64e-05
150,365.248,0.51811,0.24937,0.00281,0.95161,0.99194,0.99332,0.86062,0.57648,0.20365,0.00297,3.32e-05,3.32e-05,3.32e-05
